culture;ail;arbre_fruitier;artichaut;aubergine;autre;basilic;betterave;blette;brocoli;carotte;celeri;chou;concombre;courge;courgette;engrais_vert;epinard;fenouil;feve;fraise;haricot;melon;navet;oignon;persil;petit_pois;poireau;poivron;pomme_de_terre;radis;rhubarbe;salade;tomate
ail;0;1;-1;-1;0;0;1;1;-1;1;1;-1;1;0;0;0;1;1;-1;1;-1;0;0;1;-1;-1;-1;0;1;1;1;1;1
arbre_fruitier;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
artichaut;-1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;-1;1;0;1;1
aubergine;-1;0;1;0;0;1;-1;0;0;1;0;0;0;1;0;0;1;-1;1;0;1;0;0;-1;1;1;-1;0;-1;1;0;1;-1
autre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basilic;0;0;0;1;0;0;-1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;1
betterave;1;0;0;-1;0;-1;0;-1;1;-1;1;1;1;1;0;0;-1;-1;1;0;-1;0;1;1;0;1;-1;-1;-1;1;0;1;-1
blette;1;1;0;0;0;0;-1;0;0;-1;1;1;0;0;0;0;-1;-1;1;0;-1;0;1;1;0;0;-1;0;-1;1;0;1;-1
brocoli;-1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;-1;-1;1;-1;1;1;0;1;0;1;-1;0;1;-1;0;-1;-1
carotte;1;1;0;1;0;0;-1;-1;0;0;-1;1;1;0;0;0;1;-1;1;-1;1;0;1;1;1;1;1;1;-1;1;0;1;1
celeri;1;0;0;0;0;0;1;1;1;-1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;-1;1;1;0;-1;1;0;-1;1
chou;-1;0;1;0;0;1;1;1;1;1;1;-1;1;1;-1;0;1;-1;1;-1;1;1;-1;0;-1;1;0;1;1;-1;0;1;-1
concombre;1;0;0;0;0;1;1;0;1;1;1;1;0;-1;-1;0;1;1;1;0;1;-1;-1;1;0;1;-1;0;-1;1;0;1;-1
courge;0;0;0;1;0;1;1;0;1;0;1;1;-1;0;-1;0;0;-1;1;0;1;-1;0;1;0;1;0;0;-1;-1;0;1;-1
courgette;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;1;-1;1;0;1;-1;0;1;0;0;1;1;-1;0;0;1;-1
engrais_vert;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
epinard;1;1;0;1;0;0;-1;-1;-1;1;1;1;1;0;1;0;0;-1;1;1;1;1;1;1;0;1;1;-1;0;1;1;1;1
fenouil;1;0;0;-1;0;1;-1;-1;-1;-1;1;-1;1;-1;-1;0;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0;-1;-1
feve;-1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;-1;0;1;1;1;1;-1;0;-1;-1;0;1;1;0;1;1
fraise;1;1;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;1;-1;1;0;1;0;1;1;0;-1;1;0;0;1;0;1;1
haricot;-1;0;0;1;0;0;-1;-1;1;1;1;1;1;1;1;0;1;-1;1;1;0;1;1;-1;1;1;-1;0;1;1;0;1;-1
melon;0;0;0;0;0;1;0;0;1;0;0;1;-1;-1;-1;0;1;-1;1;0;1;0;0;0;1;1;0;0;-1;1;0;0;0
navet;0;0;0;0;0;0;1;1;0;1;1;-1;-1;0;0;0;1;-1;1;1;1;0;0;-1;0;1;0;0;-1;-1;0;1;1
oignon;1;1;1;-1;0;0;1;1;1;1;1;0;1;1;1;0;1;-1;-1;1;-1;0;-1;0;1;-1;1;1;-1;-1;0;1;1
persil;-1;0;1;1;0;1;0;0;0;1;-1;-1;0;0;0;0;0;-1;0;0;1;1;0;1;0;-1;-1;0;0;1;0;-1;0
petit_pois;-1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;-1;-1;-1;1;1;1;-1;-1;0;-1;1;1;1;0;0;-1
poireau;-1;0;1;-1;0;0;-1;-1;-1;1;1;0;-1;0;1;0;1;1;-1;1;-1;0;0;1;-1;-1;0;-1;0;1;0;1;-1
poivron;0;0;0;0;0;1;-1;0;0;1;0;1;0;0;1;0;-1;-1;0;0;0;0;0;1;0;1;-1;0;-1;0;0;0;-1
pomme_de_terre;1;0;-1;-1;0;0;-1;-1;1;-1;-1;1;-1;-1;-1;0;0;-1;1;0;1;-1;-1;-1;0;1;0;-1;0;0;0;1;-1
radis;1;0;1;1;0;0;1;1;-1;1;1;-1;1;-1;0;0;1;-1;1;1;1;1;-1;-1;1;1;1;0;0;0;0;1;1
rhubarbe;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
salade;1;0;1;1;0;1;1;1;-1;1;-1;1;1;1;1;0;1;-1;1;1;1;0;1;1;-1;0;1;0;1;1;0;0;1
tomate;1;0;1;-1;0;1;-1;-1;-1;1;1;-1;-1;-1;-1;0;1;-1;1;1;-1;0;1;1;0;-1;-1;-1;-1;1;0;1;0
